,internship_id,title,skills,location,work_type,company,clean_description
1212995,2407136455704352,Accountant,"Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge",Podgorica,Intern,Hindustan Unilever Limited (HUL),"Financial Accountants handle financial records, prepare financial statements, and ensure compliance with accounting standards. They analyze financial data to provide accurate financial reports and support decision-making within the organization."
733857,1638650067492274,Accountant,Tax preparation Tax planning Tax regulations Accounting Tax software proficiency,Kingstown,Intern,W.R. Berkley,"Tax Accountants specialize in tax-related matters. They prepare tax returns, assist with tax planning, and ensure compliance with tax laws and regulations. They stay updated on tax codes and advise organizations on tax strategies."
1036243,2431289877654178,Accountant,"Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge",Lilongwe,Intern,SBI Life Insurance Company,"Financial Accountants handle financial records, prepare financial statements, and ensure compliance with accounting standards. They analyze financial data to provide accurate financial reports and support decision-making within the organization."
323988,2404500082756023,Accountant,Forensic accounting Fraud detection Legal knowledge Investigative skills,Abu Dhabi,Intern,W.W. Grainger,"Forensic Accountants investigate financial discrepancies and fraud. They analyze financial documents, track financial transactions, and provide expert testimony in legal proceedings. They play a critical role in detecting and preventing financial fraud."
1230345,569196078241366,Aerospace Engineer,"Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations","Washington, D.C.",Intern,State Bank of India (SBI),"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency."
1109792,1042083491531113,Aerospace Engineer,"Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations",Nassau,Intern,China Vanke,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency."
190440,1570772509367317,Aerospace Engineer,Avionics systems Electronic warfare systems Radar systems Aircraft communication systems System integration Testing and validation,Victoria,Intern,StoneX Group,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations."
324588,2245015945815245,Aerospace Engineer,"Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations",Noumea,Intern,L&T Finance Holdings,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency."
1132743,1618553954686352,Aerospace Engineer,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management,Pristina,Intern,Bajaj Auto,Systems Engineers design and manage complex systems and infrastructure. They integrate various components and technologies to ensure optimal system performance and reliability.
331537,1578723801180966,Aerospace Engineer,"Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations",Port Moresby,Intern,GAIL (India) Limited,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency."
810816,3080137896586702,Aerospace Engineer,Avionics systems Electronic warfare systems Radar systems Aircraft communication systems System integration Testing and validation,Ottawa,Intern,Henkel AG & Co. KGaA,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations."
545260,704135778715878,Aerospace Engineer,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management,Quito,Intern,Occidental Petroleum,Systems Engineers design and manage complex systems and infrastructure. They integrate various components and technologies to ensure optimal system performance and reliability.
681346,259017521990740,Aerospace Engineer,"Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations",Canberra,Intern,Mondelez International,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency."
904050,1045824319277416,Aerospace Engineer,"Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations",Lilongwe,Intern,Ford Motor,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency."
613871,2835746448623416,Architect,Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Brasilia,Intern,Skechers U.S.A.,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability."
582466,2937054965429950,Architect,Architectural project management Construction documents Building systems Design coordination Client communication,Naypyidaw,Intern,American International Group,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations."
868904,2491607756082562,Architect,Architectural project management Construction documents Building systems Design coordination Client communication,Oslo,Intern,CVS Health,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations."
1443786,2508887948405910,Architect,Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Dublin,Intern,Masco,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability."
866701,212125575607722,Architect,"Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",Apia,Intern,Zee Entertainment Enterprises,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards."
383628,2655290019247629,Architect,Architectural project management Construction documents Building systems Design coordination Client communication,Nicosia,Intern,W.R. Berkley,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations."
91656,939283899170476,Architect,Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Suva,Intern,Coca-Cola,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability."
504804,1556031007456884,Architect,Architectural project management Construction documents Building systems Design coordination Client communication,Bishkek,Intern,Cadila Healthcare,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations."
1300227,1022879476350090,Architect,Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Addis Ababa,Intern,Toll Brothers,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability."
1517191,1465110711663906,Architect,Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Sri Jayawardenepura Kotte,Intern,Liberty Mutual Insurance Group,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability."
495112,2022244381706302,Architectural Designer,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,Kingston,Intern,Thermo Fisher Scientific,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.
1266601,2992513732023214,Architectural Designer,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",Conakry,Intern,AMP Limited,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses."
764448,2006446416567329,Architectural Designer,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",Caracas,Intern,China Evergrande Group,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses."
636568,1232382764221263,Architectural Designer,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,Wellington,Intern,EMCOR Group,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.
128551,793496614569076,Architectural Designer,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",Abu Dhabi,Intern,Global Partners,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses."
55558,2363188467552454,Architectural Designer,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",Roseau,Intern,Sirius XM Holdings Inc.,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses."
219775,726609270730585,Architectural Designer,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",Damascus,Intern,Fifth Third Bancorp,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses."
806749,2206081213570458,Architectural Designer,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",Ṣo Tom̩,Intern,News Corp.,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses."
85532,327408012881757,Architectural Designer,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,Palikir,Intern,Becton Dickinson,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.
1347085,2222563042599969,Architectural Designer,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,Suva,Intern,Gap,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.
1581918,1630333657418114,Art Director,Creative leadership Art direction Concept development Visual design Advertising and marketing expertise,Praia,Intern,Interpublic Group,"Creative Directors lead creative teams in developing visual and conceptual designs for various media, ensuring brand consistency and artistic quality."
1385359,1779614340513461,Art Director,Creative leadership Art direction Concept development Visual design Advertising and marketing expertise,Budapest,Intern,Block,"Creative Directors lead creative teams in developing visual and conceptual designs for various media, ensuring brand consistency and artistic quality."
385899,612909159313672,Art Director,Creative leadership Art direction Concept development Visual design Advertising and marketing expertise,Warsaw,Intern,Caterpillar,"Creative Directors lead creative teams in developing visual and conceptual designs for various media, ensuring brand consistency and artistic quality."
773389,1155368264305192,Art Director,Creative leadership Art direction Concept development Visual design Advertising and marketing expertise,Gibraltar,Intern,Celgene Corporation,"Creative Directors lead creative teams in developing visual and conceptual designs for various media, ensuring brand consistency and artistic quality."
880044,2329852087689930,Art Director,Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,Moroni,Intern,Nucor,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art."
1322915,957625671890640,Art Director,Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,Suva,Intern,Boston Scientific,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art."
95629,1775142276017471,Art Director,Graphic design Typography User interface (UI) design Adobe Creative Suite proficiency Branding and visual identity creation,Kigali,Intern,Dell Technologies,"Visual Designers create visual content, including graphics, illustrations, and layouts, to convey messages and enhance brand identity."
251850,3099501202874934,Art Director,Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,Bishkek,Intern,Seven Group Holdings,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art."
1023580,2473760394062972,Art Director,Graphic design Typography User interface (UI) design Adobe Creative Suite proficiency Branding and visual identity creation,Ngerulmud,Intern,Reynolds American Inc.,"Visual Designers create visual content, including graphics, illustrations, and layouts, to convey messages and enhance brand identity."
163607,696530469609686,Art Director,Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,Zagreb,Intern,Delta Air Lines,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art."
440097,641114958161994,Art Teacher,Artistic skills Teaching ability Communication skills Art history knowledge Creativity,Hagatna,Intern,PPG Industries,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity."
1531279,2147073310583902,Art Teacher,Artistic skills Teaching ability Communication skills Art history knowledge Creativity,Vientiane,Intern,Jackson Financial,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity."
328456,1010589798064191,Art Teacher,Artistic skills Teaching ability Communication skills Art history knowledge Creativity,Nuuk,Intern,Charter Communications,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity."
422318,507555681132216,Art Teacher,Artistic skills Teaching ability Communication skills Art history knowledge Creativity,San Juan,Intern,Allianz SE,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity."
158558,1397013866221884,Art Teacher,Art instruction Classroom management Art techniques Lesson planning Student assessment,Kinshasa,Intern,Keurig Dr Pepper Inc.,"A Studio Art Teacher instructs students in studio art practices, providing hands-on guidance in creating art and fostering artistic expression and skill development."
589187,454442833793279,Art Teacher,Artistic skills Teaching ability Communication skills Art history knowledge Creativity,Kingston,Intern,Ball,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity."
1272275,3057532010566111,Art Teacher,Artistic skills Teaching ability Communication skills Art history knowledge Creativity,Marigot,Intern,AMP Limited,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity."
251557,833840209833037,Art Teacher,Artistic skills Teaching ability Communication skills Art history knowledge Creativity,Gaborone,Intern,Shriram Transport Finance Company,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity."
1121361,1580430187585331,Art Teacher,Art education curriculum Program development Teacher training Communication skills Artistic expertise,Marigot,Intern,Sonoco Products,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities."
502578,2923562235100862,Art Teacher,Art education curriculum Program development Teacher training Communication skills Artistic expertise,Podgorica,Intern,Abbott Laboratories,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities."
417789,1576141541816555,Back-End Developer,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Majuro,Intern,Clorox Company,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.
1001017,736521913039783,Back-End Developer,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Manila,Intern,Shree Cement,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.
1507269,1632902428571690,Back-End Developer,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Bucharest,Intern,JD Sports Fashion,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.
231095,795828172722747,Back-End Developer,"Server-side programming languages (e.g., Java, Python) Database management API development",Vilnius,Intern,Domino's Pizza Group,"A Server Developer specializes in developing and maintaining server-side applications and systems, ensuring efficient data processing and server functionality."
892188,1152433727680265,Back-End Developer,"Server-side programming languages (e.g., Java, Python) Database management API development",Noumea,Intern,Performance Food Group,"A Server Developer specializes in developing and maintaining server-side applications and systems, ensuring efficient data processing and server functionality."
589911,637724048657950,Back-End Developer,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Victoria,Intern,Incitec Pivot,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.
305837,746396764828088,Back-End Developer,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Santiago,Intern,Carrier Global,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.
85680,344432046660774,Back-End Developer,"Server-side programming languages (e.g., Java, Python) Database management API development",Bucharest,Intern,United Airlines Holdings,"A Server Developer specializes in developing and maintaining server-side applications and systems, ensuring efficient data processing and server functionality."
1225741,2817506335271402,Back-End Developer,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Suva,Intern,APA Group,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.
66028,1405268356253982,Back-End Developer,"Server-side programming languages (e.g., Java, Python) Database management API development",Saint John's,Intern,JD Sports Fashion,"A Server Developer specializes in developing and maintaining server-side applications and systems, ensuring efficient data processing and server functionality."
1601018,1802240590410908,Brand Ambassador,Brand promotion Marketing knowledge Communication skills Sales techniques Product knowledge,San Marino,Intern,Home Depot,"Brand Promoters are responsible for promoting a companys brand or products. They engage with the target audience, create marketing strategies, and build brand awareness."
967859,1740212302831519,Brand Ambassador,Brand promotion Marketing knowledge Communication skills Sales techniques Product knowledge,Oranjestad,Intern,Delek US Holdings,"Brand Promoters are responsible for promoting a companys brand or products. They engage with the target audience, create marketing strategies, and build brand awareness."
908231,969078310792582,Brand Ambassador,Product knowledge Demonstrating skills Sales techniques Customer engagement Communication skills,Ouagadougou,Intern,Carvana,"Product Demonstrators showcase products to potential customers. They explain features, answer questions, and help customers make informed purchase decisions."
937888,1296777562553605,Brand Ambassador,Brand promotion Marketing knowledge Communication skills Sales techniques Product knowledge,Belgrade,Intern,Dollar Tree,"Brand Promoters are responsible for promoting a companys brand or products. They engage with the target audience, create marketing strategies, and build brand awareness."
1492054,1969522463451216,Brand Ambassador,Brand promotion Marketing knowledge Communication skills Sales techniques Product knowledge,Castries,Intern,Mondelez International,"Brand Promoters are responsible for promoting a companys brand or products. They engage with the target audience, create marketing strategies, and build brand awareness."
1204689,1835246448001017,Brand Ambassador,Brand promotion Marketing knowledge Communication skills Sales techniques Product knowledge,Bratislava,Intern,Ramsay Health Care,"Brand Promoters are responsible for promoting a companys brand or products. They engage with the target audience, create marketing strategies, and build brand awareness."
1465677,1283855706822053,Brand Ambassador,Social media management Content creation Audience engagement Marketing strategy Communication skills,City of Baghdad,Intern,Western & Southern Financial Group,Social Media Influencers use their online presence to promote brands or products. They create engaging content and collaborate with companies to reach a wider audience.
1282795,1432847389936246,Brand Ambassador,Social media management Content creation Audience engagement Marketing strategy Communication skills,Berlin,Intern,Oracle,Social Media Influencers use their online presence to promote brands or products. They create engaging content and collaborate with companies to reach a wider audience.
1304839,2283258080646991,Brand Ambassador,Social media management Content creation Audience engagement Marketing strategy Communication skills,Valletta,Intern,Energy Transfer,Social Media Influencers use their online presence to promote brands or products. They create engaging content and collaborate with companies to reach a wider audience.
341461,289320602621091,Brand Ambassador,Brand promotion Marketing knowledge Communication skills Sales techniques Product knowledge,Praia,Intern,Metro AG,"Brand Promoters are responsible for promoting a companys brand or products. They engage with the target audience, create marketing strategies, and build brand awareness."
424163,1188356421762524,Brand Manager,Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration,Victoria,Intern,Darden Restaurants,A Brand Strategist develops strategies to build and strengthen a companys brand identity. They research market trends and consumer preferences to guide branding decisions.
